namespace label|resource label|namespace|resource uri|parent uri
dbo|Academic Person|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Academic|http://dbpedia.org/ontology/Person
dbo|academic conference|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AcademicConference|http://dbpedia.org/ontology/SocietalEvent
dbo|academic journal|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AcademicJournal|http://dbpedia.org/ontology/PeriodicalLiterature
dbo|academic subject|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AcademicSubject|http://dbpedia.org/ontology/TopicalConcept
dbo|activity|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Activity|http://www.w3.org/2002/07/owl#Thing
dbo|actor|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Actor|http://dbpedia.org/ontology/Artist
dbo|administrative region|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AdministrativeRegion|http://dbpedia.org/ontology/Region
dbo|adult (pornographic) actor|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AdultActor|http://dbpedia.org/ontology/Actor
dbo|agent|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Agent|http://www.w3.org/2002/07/owl#Thing
dbo|agglomeration|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Agglomeration|http://dbpedia.org/ontology/PopulatedPlace
dbo|aircraft|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Aircraft|http://schema.org/Product && http://dbpedia.org/ontology/MeanOfTransportation
dbo|airline|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Airline|http://dbpedia.org/ontology/PublicTransitSystem
dbo|airport|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Airport|http://dbpedia.org/ontology/Infrastructure
dbo|album|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Album|http://dbpedia.org/ontology/MusicalWork
dbo|algorithm|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Algorithm|http://www.w3.org/2002/07/owl#Thing
dbo|altitude|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Altitude|http://www.w3.org/2002/07/owl#Thing
dbo|amateur boxer|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AmateurBoxer|http://dbpedia.org/ontology/Boxer
dbo|ambassador|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Ambassador|http://dbpedia.org/ontology/Politician
dbo|american football coach|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AmericanFootballCoach|http://dbpedia.org/ontology/Coach
dbo|american football league|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AmericanFootballLeague|http://dbpedia.org/ontology/SportsLeague
dbo|american football player|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AmericanFootballPlayer|http://dbpedia.org/ontology/GridironFootballPlayer
dbo|american football Team|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AmericanFootballTeam|http://dbpedia.org/ontology/SportsTeam
dbo|American Leader|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AmericanLeader|http://dbpedia.org/ontology/Person
dbo|amphibian|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Amphibian|http://dbpedia.org/ontology/Animal
dbo|amusement park attraction|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AmusementParkAttraction|http://dbpedia.org/ontology/ArchitecturalStructure
dbo|anatomical structure|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AnatomicalStructure|http://www.w3.org/2002/07/owl#Thing
dbo|animal|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Eukaryote
dbo|animanga character|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AnimangaCharacter|http://dbpedia.org/ontology/ComicsCharacter
dbo|anime|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Anime|http://dbpedia.org/ontology/Cartoon
dbo|annotation|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Annotation|http://dbpedia.org/ontology/WrittenWork
dbo|arachnid|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Animal
dbo|archaea|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Archaea|http://dbpedia.org/ontology/Species
dbo|archbishop|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Archbishop|http://dbpedia.org/ontology/ChristianBishop
dbo|archeologist|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Archeologist|http://dbpedia.org/ontology/Person
dbo|Archer Player|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/ArcherPlayer|http://dbpedia.org/ontology/Athlete
dbo|archipelago|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Archipelago|http://dbpedia.org/ontology/NaturalPlace
dbo|architect|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Architect|http://dbpedia.org/ontology/Person
dbo|architectural structure|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/ArchitecturalStructure|http://www.w3.org/2002/07/owl#Thing
dbo|area|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Area|http://www.w3.org/2002/07/owl#Thing
dbo|arena|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Arena|http://schema.org/StadiumOrArena && http://dbpedia.org/ontology/ArchitecturalStructure
dbo|aristocrat|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Aristocrat|http://dbpedia.org/ontology/Person
dbo|arrondissement|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Arrondissement|http://dbpedia.org/ontology/GovernmentalAdministrativeRegion
dbo|artery|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Artery|http://dbpedia.org/ontology/AnatomicalStructure
dbo|article|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Article|http://dbpedia.org/ontology/WrittenWork
dbo|artificial satellite|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/ArtificialSatellite|http://dbpedia.org/ontology/Satellite
dbo|artist|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Artist|http://dbpedia.org/ontology/Person
dbo|artist discography|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/ArtistDiscography|http://dbpedia.org/ontology/MusicalWork
dbo|artistic genre|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/ArtisticGenre|http://dbpedia.org/ontology/Genre
dbo|artwork|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Artwork|http://dbpedia.org/ontology/Work
dbo|asteroid|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Asteroid|http://dbpedia.org/ontology/CelestialBody
dbo|astronaut|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Astronaut|http://dbpedia.org/ontology/Person
dbo|athlete|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Athlete|http://dbpedia.org/ontology/Person
dbo|athletics|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Athletics|http://dbpedia.org/ontology/Sport
dbo|athletics player|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AthleticsPlayer|http://dbpedia.org/ontology/Athlete
dbo|atoll|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Atoll|http://dbpedia.org/ontology/Island
dbo|attack|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Attack|http://dbpedia.org/ontology/SocietalEvent
dbo|australian football league|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AustralianFootballLeague|http://dbpedia.org/ontology/SportsLeague
dbo|australian football Team|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AustralianFootballTeam|http://dbpedia.org/ontology/SportsTeam
dbo|Australian rules football player|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AustralianRulesFootballPlayer|http://dbpedia.org/ontology/Athlete
dbo|auto racing league|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AutoRacingLeague|http://dbpedia.org/ontology/SportsLeague
dbo|automobile|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Automobile|http://schema.org/Product && http://dbpedia.org/ontology/MeanOfTransportation
dbo|automobile engine|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/AutomobileEngine|http://dbpedia.org/ontology/Engine
dbo|award|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Award|http://www.w3.org/2002/07/owl#Thing
dbo|back scene|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BackScene|http://dbpedia.org/ontology/MusicalArtist
dbo|bacteria|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Bacteria|http://dbpedia.org/ontology/Species
dbo|badminton player|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BadmintonPlayer|http://dbpedia.org/ontology/Athlete
dbo|band|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Band|http://schema.org/MusicGroup && http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson && http://dbpedia.org/ontology/Group
dbo|bank|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Bank|http://dbpedia.org/ontology/Company
dbo|baronet|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Baronet|http://dbpedia.org/ontology/BritishRoyalty
dbo|baseball league|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BaseballLeague|http://dbpedia.org/ontology/SportsLeague
dbo|baseball player|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BaseballPlayer|http://dbpedia.org/ontology/Athlete
dbo|baseball season|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BaseballSeason|http://dbpedia.org/ontology/SportsTeamSeason
dbo|baseball team|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BaseballTeam|http://dbpedia.org/ontology/SportsTeam
dbo|basketball league|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BasketballLeague|http://dbpedia.org/ontology/کھیلوں_کی_انجمن
dbo|basketball player|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BasketballPlayer|http://dbpedia.org/ontology/Athlete
dbo|basketball team|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BasketballTeam|http://dbpedia.org/ontology/SportsTeam
dbo|battery|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Battery|http://dbpedia.org/ontology/Device
dbo|bay|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Bay|http://dbpedia.org/ontology/BodyOfWater
dbo|beach|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Beach|http://dbpedia.org/ontology/NaturalPlace
dbo|beach volleyball player|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BeachVolleyballPlayer|http://dbpedia.org/ontology/VolleyballPlayer
dbo|beauty queen|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BeautyQueen|http://dbpedia.org/ontology/Person
dbo|beer|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Beer|http://dbpedia.org/ontology/Beverage
dbo|beverage|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Beverage|http://dbpedia.org/ontology/Food
dbo|biathlete|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Biathlete|http://dbpedia.org/ontology/WinterSportPlayer
dbo|Biological database|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BiologicalDatabase|http://dbpedia.org/ontology/Database
dbo|biologist|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Biologist|http://dbpedia.org/ontology/Scientist
dbo|biomolecule|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Biomolecule|http://www.w3.org/2002/07/owl#Thing
dbo|bird|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Bird|http://dbpedia.org/ontology/Animal
dbo|blazon|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Blazon|http://www.w3.org/2002/07/owl#Thing
dbo|blood vessel|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BloodVessel|http://dbpedia.org/ontology/AnatomicalStructure
dbo|board game|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BoardGame|http://dbpedia.org/ontology/Game
dbo|bobsleigh athlete|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BobsleighAthlete|http://dbpedia.org/ontology/WinterSportPlayer
dbo|body of water|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BodyOfWater|http://dbpedia.org/ontology/NaturalPlace
dbo|bodybuilder|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Bodybuilder|http://dbpedia.org/ontology/Athlete
dbo|bone|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Bone|http://dbpedia.org/ontology/AnatomicalStructure
dbo|book|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Book|http://dbpedia.org/ontology/WrittenWork
dbo|bowling league|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/BowlingLeague|http://dbpedia.org/ontology/SportsLeague
dbo|boxer|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/Boxer|http://dbpedia.org/ontology/Athlete
