namespace label|resource label|namespace|resource uri|parent uri|domain|range
dbo|a side|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/aSide|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Single|http://www.w3.org/2001/XMLSchema#string
dbo|abbey church blessing|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/abbeychurchBlessing|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Cleric|http://www.w3.org/2001/XMLSchema#string
dbo|abbey church blessing charge|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/abbeychurchBlessingCharge|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Cleric|http://www.w3.org/2001/XMLSchema#string
dbo|abbreviation|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/abbreviation|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#string
dbo|able to grind|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/ableToGrind|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Mill|http://www.w3.org/2001/XMLSchema#string
dbo|absolute magnitude|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/absoluteMagnitude|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/CelestialBody|http://www.w3.org/2001/XMLSchema#double
dbo|abstentions|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/abstentions|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/StatedResolution|http://www.w3.org/2001/XMLSchema#nonNegativeInteger
dbo|has abstract|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/abstract|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
dbo|academic advisor|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/academicAdvisor|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Scientist|http://dbpedia.org/ontology/Person
dbo|academic discipline|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/academicDiscipline|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/AcademicJournal|
dbo|Academy Award|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/academyAward|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Artist|http://dbpedia.org/ontology/Award
dbo|acceleration (s)|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/acceleration|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/AutomobileEngine|http://www.w3.org/2001/XMLSchema#double
dbo|access|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/access|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#string
dbo|access date|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/accessDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#date
dbo|achievement|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/achievement|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Person|
dbo|date of acquirement|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/acquirementDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Ship|http://www.w3.org/2001/XMLSchema#date
dbo|ACT score|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/actScore|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/School|
dbo|acting headteacher|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/actingHeadteacher|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/EducationalInstitution|http://dbpedia.org/ontology/Person
dbo|Active Cases|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/activeCases|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Outbreak|http://www.w3.org/2001/XMLSchema#integer
dbo|active years|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/activeYears|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Person|http://www.w3.org/2001/XMLSchema#string
dbo|active years end date|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/activeYearsEndDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#date
dbo|active years end date manager|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/activeYearsEndDateMgr|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Person|http://www.w3.org/2001/XMLSchema#string
dbo|active years end year|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/activeYearsEndYear|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#gYear
dbo|active years end year manager|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/activeYearsEndYearMgr|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Person|http://www.w3.org/2001/XMLSchema#gYear
dbo|active years start date|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/activeYearsStartDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#date
dbo|active years start date manager|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/activeYearsStartDateMgr|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Person|http://www.w3.org/2001/XMLSchema#date
dbo|active years start year|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/activeYearsStartYear|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#gYear
dbo|active years start year manager|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/activeYearsStartYearMgr|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Person|http://www.w3.org/2001/XMLSchema#gYear
dbo|activity|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/activity|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Person|
dbo|address|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/address|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Place|http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
dbo|address in road|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/addressInRoad|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Road|
dbo|adjacent settlement of a switzerland settlement|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/adjacentSettlement|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Settlement|http://dbpedia.org/ontology/Settlement
dbo|administrative center|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/administrativeCenter|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/AdministrativeRegion|http://dbpedia.org/ontology/Place
dbo|administrative collectivity|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/administrativeCollectivity|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Settlement|http://dbpedia.org/ontology/PopulatedPlace
dbo|administrative district|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/administrativeDistrict|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Settlement|http://dbpedia.org/ontology/PopulatedPlace
